Designator,Mid X,Mid Y,Rotation,Layer
BT1,149.0,-96.5,0.0,top
D1,131.995,-108.5,0.0,top
D2,166.27,-108.5,0.0,top
R1,132.0,-103.0,0.0,top
R2,166.19,-103.0,0.0,top
SW1,131.75,-96.5,0.0,top
SW3,166.25,-96.75,0.0,top
